Place,Attraction1,Attraction2,Distance_km
Aihole,Durga Temple,Lad Khan Temple,0.1082422859568435
Aihole,Durga Temple,Meguti Jain Temple,0.4359371329474097
Aihole,Lad Khan Temple,Meguti Jain Temple,0.4213587344219687
Ajanta & Ellora Caves,Ajanta Caves,Ellora Caves,81.93297942444988
Ajanta & Ellora Caves,Ajanta Caves,Kailasa Temple,82.0243539517236
Ajanta & Ellora Caves,Ajanta Caves,Grishneshwar Temple,82.64678294901182
Ajanta & Ellora Caves,Ajanta Caves,Aurangabad Caves,84.67789622132999
Ajanta & Ellora Caves,Ajanta Caves,Bibi ka Maqbara,83.18666276719952
Ajanta & Ellora Caves,Ajanta Caves,Daulatabad Fort,86.15529679276821
Ajanta & Ellora Caves,Ellora Caves,Kailasa Temple,0.3841963015063919
Ajanta & Ellora Caves,Ellora Caves,Grishneshwar Temple,0.8178704980968846
Ajanta & Ellora Caves,Ellora Caves,Aurangabad Caves,25.002603076057405
Ajanta & Ellora Caves,Ellora Caves,Bibi ka Maqbara,20.411241962268424
Ajanta & Ellora Caves,Ellora Caves,Daulatabad Fort,11.076749257755168
Ajanta & Ellora Caves,Kailasa Temple,Grishneshwar Temple,0.9934263532112786
Ajanta & Ellora Caves,Kailasa Temple,Aurangabad Caves,24.633470614636504
Ajanta & Ellora Caves,Kailasa Temple,Bibi ka Maqbara,20.04459172650362
Ajanta & Ellora Caves,Kailasa Temple,Daulatabad Fort,10.694217021681892
Ajanta & Ellora Caves,Grishneshwar Temple,Aurangabad Caves,25.44195091809941
Ajanta & Ellora Caves,Grishneshwar Temple,Bibi ka Maqbara,20.867389876905456
Ajanta & Ellora Caves,Grishneshwar Temple,Daulatabad Fort,11.254407071364918
Ajanta & Ellora Caves,Aurangabad Caves,Bibi ka Maqbara,4.617564517898708
Ajanta & Ellora Caves,Aurangabad Caves,Daulatabad Fort,15.21421048820986
Ajanta & Ellora Caves,Bibi ka Maqbara,Daulatabad Fort,11.019943614630808
Alibaug,Alibaug Beach,Kolaba Fort,2.398880394877958
Alibaug,Alibaug Beach,Nagaon Beach,7.199297075328086
Alibaug,Alibaug Beach,Kashid Beach,23.7400880993495
Alibaug,Alibaug Beach,Murud-Janjira Fort,40.81379389674722
Alibaug,Alibaug Beach,Varsoli Beach,0.726713959680918
Alibaug,Kolaba Fort,Nagaon Beach,5.459946303759541
Alibaug,Kolaba Fort,Kashid Beach,21.47762310153915
Alibaug,Kolaba Fort,Murud-Janjira Fort,38.63027056342664
Alibaug,Kolaba Fort,Varsoli Beach,2.881704724895127
Alibaug,Nagaon Beach,Kashid Beach,17.04166881809649
Alibaug,Nagaon Beach,Murud-Janjira Fort,33.8283957679942
Alibaug,Nagaon Beach,Varsoli Beach,7.893328357974359
Alibaug,Kashid Beach,Murud-Janjira Fort,17.317120174494345
Alibaug,Kashid Beach,Varsoli Beach,24.330773902261623
Alibaug,Murud-Janjira Fort,Varsoli Beach,41.43963162251013
Alleppey (Alappuzha),Alleppey Backwaters,Houseboats,0.8702560152488729
Alleppey (Alappuzha),Alleppey Backwaters,Alappuzha Beach,3.971495569803989
Alleppey (Alappuzha),Alleppey Backwaters,Marari Beach,12.034836561370902
Alleppey (Alappuzha),Alleppey Backwaters,Pathiramanal Island,1.9098314472762232
Alleppey (Alappuzha),Alleppey Backwaters,Ambalapuzha Sri Krishna Temple,13.86048912309561
Alleppey (Alappuzha),Alleppey Backwaters,St. Mary’s Forane Church,23.140338675339887
Alleppey (Alappuzha),Alleppey Backwaters,Revi Karunakaran Museum,2.86873966191011
Alleppey (Alappuzha),Houseboats,Alappuzha Beach,3.3636759717424254
Alleppey (Alappuzha),Houseboats,Marari Beach,12.41805704089155
Alleppey (Alappuzha),Houseboats,Pathiramanal Island,1.1502410417573643
Alleppey (Alappuzha),Houseboats,Ambalapuzha Sri Krishna Temple,13.248870899973856
